date,temp_max,temp_min,precipitation,humidity,wind_speed,pressure,visibility,cloud_cover,condition
2024-12-18,18.5,12.0,0.0,62.9,12.3,1018.2,17.85,53.7,sunny
2024-12-19,14.6,5.5,1.48,66.0,6.8,1029.0,10.75,68.7,partly_cloudy
2024-12-20,20.2,5.5,0.0,75.4,6.2,1019.2,15.2,88.6,overcast
2024-12-21,21.0,8.8,0.0,67.2,9.8,1024.1,20.0,67.7,partly_cloudy
2024-12-22,12.5,10.9,0.06,46.4,10.4,1016.4,19.25,58.1,sunny
2024-12-23,14.7,8.6,2.17,75.0,6.3,1014.8,12.9,100.0,overcast
2024-12-24,19.1,12.7,0.22,53.9,11.2,1017.5,20.0,55.8,sunny
2024-12-25,18.0,11.5,0.96,78.9,11.9,1010.3,19.16,71.5,partly_cloudy
2024-12-26,19.1,11.7,0.0,56.0,13.2,1009.4,19.75,58.6,sunny
2024-12-27,16.8,11.0,0.0,47.6,15.1,1022.7,19.53,28.7,sunny
2024-12-28,22.2,16.6,0.88,54.2,4.5,1023.3,17.77,44.8,sunny
2024-12-29,22.1,9.2,0.0,68.3,8.1,1009.1,19.54,46.5,sunny
2024-12-30,20.2,4.0,0.0,45.9,8.0,1020.8,20.0,52.6,sunny
2024-12-31,23.6,15.0,0.0,79.0,7.6,1014.4,19.4,56.9,sunny
2025-01-01,21.6,8.8,0.0,51.2,5.4,1017.0,20.0,47.7,sunny
2025-01-02,17.8,10.7,0.0,69.3,2.1,1017.7,20.0,70.9,partly_cloudy
2025-01-03,21.7,14.5,0.0,62.8,8.4,1020.9,17.02,64.3,partly_cloudy
2025-01-04,17.9,6.0,1.22,72.5,4.9,1015.4,17.94,59.9,sunny
2025-01-05,23.7,7.3,0.0,47.9,8.3,1023.3,19.52,33.9,sunny
2025-01-06,21.1,6.4,0.14,78.2,4.8,1016.7,13.28,76.8,partly_cloudy
2025-01-07,20.9,9.1,0.0,80.7,3.6,1018.5,14.21,72.0,partly_cloudy
2025-01-08,19.6,13.0,0.0,45.4,8.9,1009.7,18.19,18.6,sunny
2025-01-09,25.5,13.4,0.88,59.2,8.6,1027.6,18.85,49.3,sunny
2025-01-10,21.6,12.9,0.0,81.2,10.3,1017.5,18.67,63.1,partly_cloudy
2025-01-11,21.0,8.0,0.92,74.4,16.7,1018.9,17.3,73.5,partly_cloudy
2025-01-12,21.4,5.5,0.82,57.6,9.1,1004.9,20.0,66.5,partly_cloudy
2025-01-13,24.3,12.8,3.85,83.9,9.9,1009.6,8.07,85.4,rainy
2025-01-14,24.0,11.4,0.0,71.4,3.7,1021.9,18.88,64.5,partly_cloudy
2025-01-15,24.3,14.4,0.91,81.3,2.9,1016.2,17.23,66.1,partly_cloudy
2025-01-16,24.6,15.4,0.0,69.0,14.3,1003.0,17.58,44.4,sunny
2025-01-17,29.9,13.9,0.34,85.9,4.3,1020.7,17.58,60.7,partly_cloudy
2025-01-18,22.4,15.9,0.0,64.8,3.8,1011.1,16.06,52.7,sunny
2025-01-19,22.3,14.5,0.0,57.0,7.8,1022.8,20.0,48.0,sunny
2025-01-20,21.6,15.6,0.0,64.1,7.6,1013.8,17.93,23.8,sunny
2025-01-21,26.1,12.1,0.0,59.4,4.4,1015.5,20.0,43.7,sunny
2025-01-22,27.8,13.9,0.0,54.0,6.8,1021.3,19.74,47.8,sunny
2025-01-23,24.3,15.2,0.0,46.8,12.9,1008.8,20.0,39.2,sunny
2025-01-24,22.3,17.3,0.0,59.1,4.8,1008.2,19.44,45.8,sunny
2025-01-25,22.5,13.8,0.0,73.5,2.4,1013.0,18.77,64.0,partly_cloudy
